name,domain,query_used,hit_url,hit_kind,ingest_rec,clear_next,evidence_tier
The Loren at Lady Bird Lake -- Guest Chef Series,food-drink,"""Guest Chef Series"" Loren Austin Lady Bird Lake schedule",https://www.thelorenhotels.com/austin/cuisine/guest-chef-series,official_list,official,"Fetch to confirm current rotating-chef schedule/cadence when egress opens. thelorenhotels.com/austin/experiences/events (hotel's general events page) is a second, still-uncatalogued venue-type door.",search_only
"Environmental Science Institute -- Hot Science, Cool Talks",ideas,"""Hot Science, Cool Talks"" UT Austin Environmental Science Institute schedule",https://www.esi.utexas.edu/community-engagement/hot-science-cool-talks/,official_list,official,"Fetch to confirm. 6x/year free public talks, registration opens 3 weeks prior. Cross-check against UT's already-catalogued Localist feed (calendar.utexas.edu) as publisher cover.",search_only
Austin Forum on Technology & Society,ideas,"""Austin Forum on Technology"" society schedule upcoming",https://www.austinforum.org/events/,official_list,official,"Fetch to confirm. Named upcoming dates found (Jan 6 2026, Sep 1 2026). Its Eventbrite organizer page is lead-only per the existing Eventbrite-nuance note in TAM_CAPCOG.md, not a second listing.",search_only
ATX Hackerspace,other/raw,ATX Hackerspace open house Tuesday wiki events,https://wiki.atxhs.org/wiki/Events,official_list,official,Better URL found than the CSV's current one: wiki.atxhs.org/wiki/Events is a dedicated events page (vs. the wiki root). Weekly Tuesday 6-10pm open house per the snippet. Fetch to confirm when egress opens.,search_only
Meetup -- New To Austin Community,community,"meetup.com ""enjoyable events around town"" New To Austin Community",https://www.meetup.com/enjoyable-events-around-town/,marketplace,aggregator,"Group is real per the snippet (560 members). Resolves through Meetup (already-catalogued marketplace), not its own domain -- matches the ingest_rec:aggregator already on file.",search_only
City of Round Rock (Williamson County),other/raw (civic-general),Round Rock Texas events calendar site:roundrocktexas.gov,https://www.roundrocktexas.gov/events/,official_list,official,"Exact URL match, live with dated listings per the snippet (spring music series Mar 31-Jun 25 2026). Fetch to confirm when egress opens.",search_only
City of San Marcos (Hays County),other/raw (civic-general),San Marcos Texas events calendar site:sanmarcostx.gov,https://www.sanmarcostx.gov/Calendar.aspx,official_list,official,"Exact match, with a real dated listing per the snippet (Domino Bingo Sep 15). Fetch to confirm.",search_only
City of Kyle (Hays County),other/raw (civic-general),Kyle Texas community events site:cityofkyle.gov,https://www.cityofkyle.gov/living-here/parks-and-recreation/community-events/,official_list,official,"Exact match, with dated/recurring listings per the snippet (City Fest Oct 18, Founders' Parade Oct 10 2026, monthly Kyle Market Days). Fetch to confirm.",search_only
City of Bastrop (Bastrop County),other/raw (civic-general),Bastrop Texas events calendar connect.cityofbastrop.org,https://connect.cityofbastrop.org/bastroptx,official_list,official,"Exact match, with real event pages per the snippet (Homecoming + Rodeo, Corvette Invasion). Second door (cityofbastroptx.recdesk.com) not re-tested this pass. Fetch to confirm.",search_only
City of Marble Falls (Burnet County),other/raw (civic-general),Marble Falls Texas events site:marblefallstx.gov,https://marblefallstx.gov/733/Events,official_list,official,"Exact match, with dated listings per the snippet (Mayfest Apr 30-May 3 2026, Walkway of Lights named). Fetch to confirm.",search_only
City of Lockhart (Caldwell County),other/raw (civic-general),Lockhart Texas events calendar site:cityoflockhart.gov,https://www.cityoflockhart.gov/Calendar.aspx,official_list,official,"Exact match, with dated listings per the snippet (July 4 2026, summer Movies in the Park lineup). Fetch to confirm.",search_only
[HOLE] City of Georgetown (Williamson County) civic calendar,other/raw (civic-general),site:georgetown.org events calendar,https://visit.georgetown.org/calendar.php,publisher,official,"georgetown.org appears to be the city's real domain per the snippet (pets.georgetown.org, purchasing.georgetown.org are live city-department subdomains), but no plain city-wide /events path surfaced. visit.georgetown.org is a tourism-board calendar, which ONE-LIVE-TRUST.md names as a trusted civic door in its own right -- recommend resolving via this publisher-cover door rather than continuing to wait on a first-party .gov page. Fetch to confirm when egress opens.",search_only
[HOLE] City of Buda (Hays County) civic calendar,other/raw (civic-general),site:cityofbudatx.gov events calendar,https://www.budatx.gov/806/Buda-Calendar,official_list,official,"Hole closes -- a first-party Buda Events Calendar page found this pass, on budatx.gov (not cityofbudatx.gov, the domain the row's own retry_paths guessed). Fetch to confirm, then promote off blocked_now.",search_only
[HOLE] City of Pflugerville (Williamson County) general civic calendar,other/raw (civic-general),Pflugerville Texas general city events calendar site:pflugervilletx.gov -Pfarmers,https://www.pflugervilletx.gov/681/Event-Calendar,official_list,official,"Hole closes -- general Event Calendar found, distinct from the Pfarmers Market page covered above. Fetch to confirm, then promote off blocked_now.",search_only
[HOLE] City of Llano (Llano County) civic calendar,other/raw (civic-general),"""City of Llano"" Texas events calendar official",https://www.cityofllano.com/Calendar.aspx,official_list,official,"Hole closes -- real domain is cityofllano.com, NOT llanotx.us as the row's own retry_paths guessed (the guess would have been wrong -- exactly why this is a search, not an invented URL). Live listings found (Starry Starry Nights, biweekly Farmers & Crafters Market). Fetch to confirm, then promote off blocked_now.",search_only
"Southwestern University (Georgetown, Williamson County)",other/raw (campus-general),Southwestern University Georgetown events calendar site:southwestern.edu,https://www.southwestern.edu/calendar/,official_list,official,"Exact match. Student Life Events subpage also live per the snippet (southwestern.edu/life-at-southwestern/events/), naming a real event (Georgetown Festival of the Arts). Fetch to confirm.",search_only
[HOLE] St. Edward's University (of 3-school grouped hole),other/raw (campus-general),"""St. Edward's University"" events calendar Localist Austin",https://cal.stedwards.edu/,official_list,official,"Hole closes -- runs Localist (cal.stedwards.edu), same pattern as UT's already-catalogued feed. Also has a Do512 venue page (already-catalogued aggregator, publisher cover). Fetch to confirm, then promote off blocked_now.",search_only
[HOLE] Concordia University Texas (of 3-school grouped hole),other/raw (campus-general),"""Concordia University Texas"" events calendar Austin",https://www.concordia.edu/calendar/,official_list,official,"Hole closes -- real page with a named upcoming event (centennial celebration, Oct 22-24). Also has a Do512 venue page. Fetch to confirm, then promote off blocked_now.",search_only
