name,official_url,bucket,grade,next_action
SXSW Official Schedule,https://schedule.sxsw.com/,A,official,fetch
Ticketmaster Discovery API,https://developer.ticketmaster.com/,D,aggregator_lead,blocked-D
Eventbrite API,https://www.eventbrite.com/platform/api,D,aggregator_lead,blocked-D
AXS,https://www.axs.com/,D,aggregator_lead,blocked-D
DICE,https://dice.fm/,D,aggregator_lead,blocked-D
See Tickets,https://www.seetickets.us/,D,aggregator_lead,blocked-D
Tixr,https://www.tixr.com/,D,aggregator_lead,blocked-D
TicketWeb,https://www.ticketweb.com/,D,aggregator_lead,blocked-D
Universe (Ticketmaster),https://www.universe.com/,B,aggregator_lead,follow
SeatGeek,https://seatgeek.com/,B,aggregator_lead,follow
StubHub,https://www.stubhub.com/,D,aggregator_lead,blocked-D
Mohawk Austin,https://mohawkaustin.com/,A,official,fetch
Stubb's Austin,https://www.stubbsaustin.com/,B,official,fetch
ACL Live at The Moody Theater,https://www.acllive.com/,B,official,fetch
Antone's Nightclub,https://antonesnightclub.com/,B,official,fetch
Empire Control Room & Garage,https://empireatx.com/,B,official,fetch
The Continental Club (Austin),https://continentalclub.com/austin,B,official,fetch
The Parish Austin,https://parishaustin.com/,B,official,fetch
Emo's Austin,https://emosaustin.com/,B,official,fetch
Paramount Theatre (Austin),https://www.austintheatre.org/,B,official,fetch
The Saxon Pub,https://saxonpub.com/,B,official,fetch
The White Horse (Austin),https://thewhitehorseaustin.com/,B,official,fetch
Hotel Vegas,https://hotelvegasaustin.com/,B,official,fetch
Visit Austin Events,https://www.austintexas.org/events/,A,official,fetch
Do512,https://do512.com/,B,aggregator_lead,follow
Austin Chronicle Events,https://www.austinchronicle.com/events/,B,trusted_publisher,fetch
Bandsintown,https://artists.bandsintown.com/,B,aggregator_lead,follow
Songkick,https://www.songkick.com/,A,aggregator_lead,follow
Instagram Graph API,https://developers.facebook.com/docs/instagram-api/,E,social,claim
Facebook Graph API,https://developers.facebook.com/docs/graph-api/,E,social,claim
TikTok for Developers,https://developers.tiktok.com/,E,social,claim
YouTube Data API,https://developers.google.com/youtube/v3,D,social,blocked-D
Spotify Web API,https://developer.spotify.com/documentation/web-api,D,aggregator_lead,blocked-D
SoundCloud,https://soundcloud.com/,B,aggregator_lead,follow
Linktree,https://linktr.ee/,B,aggregator_lead,follow
Claimed Venue Upload (ICS/CSV),,E,official,claim
