name,type,how_found,official_or_list_url,other_doors,bucket,ingest_rec,clear_state,retry_paths,review_after,why
SXSW Official Schedule,group,catalog,https://schedule.sxsw.com/,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 1, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Mohawk Austin,venue,catalog,https://mohawkaustin.com/,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 12, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Stubb's Austin,venue,catalog,https://www.stubbsaustin.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 13, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
ACL Live at The Moody Theater,venue,catalog,https://www.acllive.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 14, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Antone's Nightclub,venue,catalog,https://antonesnightclub.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 15, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Empire Control Room & Garage,venue,catalog,https://empireatx.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 16, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Continental Club (Austin),venue,catalog,https://continentalclub.com/austin,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 17, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Parish Austin,venue,catalog,https://parishaustin.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 18, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Emo's Austin,venue,catalog,https://emosaustin.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 19, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Paramount Theatre (Austin),venue,catalog,https://www.austintheatre.org/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 20, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Saxon Pub,venue,catalog,https://saxonpub.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 21, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The White Horse (Austin),venue,catalog,https://thewhitehorseaustin.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 22, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Hotel Vegas,venue,catalog,https://hotelvegasaustin.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 23, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Visit Austin Events,civic,catalog,https://www.austintexas.org/events/,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 24, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Claimed Venue Upload (ICS/CSV),other,catalog,,,E,claim,in_catalog,n/a - already committed,n/a,"catalog rank 36, category 'claimed_upload'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Opt-in Email Forwarding (Venue Schedules),other,catalog,,,E,harbor,in_catalog,n/a - already committed,n/a,"catalog rank 37, category 'email_opt_in'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Google Calendar (Claimed OAuth),other,catalog,https://developers.google.com/calendar,,D,blocked_now,in_catalog,n/a - already committed,n/a,"catalog rank 38, category 'calendar_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Texas Performing Arts (UT Austin),venue,catalog,https://texasperformingarts.org/events/calendar/,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 42, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
"UT Austin Events Calendar (Texas Today, Localist)",education,catalog,https://calendar.utexas.edu/,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 43, category 'university_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Texas State Presents (Texas State University),venue,catalog,https://txstatepresents.universitytickets.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 44, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Texas State University Main Events,education,catalog,https://events.txst.edu/,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 45, category 'university_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Community College Events Calendar,education,catalog,https://students.austincc.edu/calendars/acc-events-calendar/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 46, category 'university_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Public Library Events,civic,catalog,https://library.austintexas.gov/events/calendar,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 47, category 'library_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
City of Austin Events (austintexas.gov),civic,catalog,https://www.austintexas.gov/events,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 48, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Blanton Museum of Art,venue,catalog,https://blantonmuseum.org/calendar_events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 49, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Contemporary Austin,venue,catalog,https://thecontemporaryaustin.org/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 50, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Mexic-Arte Museum,venue,catalog,https://mexic-artemuseum.org/upcoming-events-calendar/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 51, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
